relationship,description
label: 데이터 옵션 제공 방식(데이터 추가 / 데이터 차감율 할인 / QoS 적용),	description: (데이터 옵션명(상세) 의 데이터를 고객에게 제공하는 방식을 의미하며 데이터 추가, 데이터 차감율 할인, QoS 적용이 있음.),	value: (데이터 추가)"
PA00000059|includes|NA00008240,"label: 데이터 옵션 적용 장소,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 장소),	value: (전 지역)
label: 제공되는 옵션 데이터량,	description: (데이터 옵션명(상세) 의 데이터를 데이터 추가 형태로 제공하기로 선택한 경우 정의가 필요한 추가 제공되는 데이터 양을 의미함 (월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함. ),	value: (13GB)
label: 옵션 데이터 소진 후 데이터 QoS,	description: (데이터 옵션명(상세) 의 데이터를 데이터 추가 형태로 제공하기로 선택한 경우 추가 제공되는 데이터를 모두 소진하였을 때, 이후에도 추가 과금(유료)없이 속도 제한된 상태로 데이터 계속 이용 가능한 것을 의미하며 이 떄 추가 데이터 소진 후 데이터 사용 시 적용되는 네트워크 최대 접속 가능 속도를 의미함 (월 단위)),	value: (QOS 적용 없음)
label: 데이터 옵션 월정액,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)에 대한 월 이용요금(단위: 월)),	value: (3000원)
label: 데이터 차감 할인율,	description: (데이터 옵션명(상세) 의 데이터 차감율 할인으로 선택한 경우 기본 제공 데이터 소진 비율을 할인 조정하여 차감하며, 이 때 차감 할인율은 차감 조정 비율을 의미함(월 단위)),	value: (정보없음)
label: 매일, 매주, 매월, 주중, 주말, 공휴일(복수 지정 가능),	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 주기),	value: (매월)
label: 기본 데이터 소진 후 데이터 QoS,	description: (데이터 옵션명(상세) 의 데이터를 QoS 적용으로 선택 시, 기본 제공 데이터 소진 후에 추가 과금(유료)없이 속도 제한된 상태로 데이터 계속 이용 가능함을 의미하며 이 때 설정하는 네트워크 최대 접속 가능 속도를 의미함(월 단위)),	value: (정보없음)
label: 시간대 또는 특정 시간 지정 가능,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 시간대),	value: (적용 없음)
label: 데이터 옵션상세 ID,	description: (제공되는 데이터 옵션이 복수인 경우, 각 옵션 데이터를 구분할 수 있는 Product Meta 고유 ID를 의미함),	value: (정보없음)
label: 데이터 옵션 제공 방식(데이터 추가 / 데이터 차감율 할인 / QoS 적용),	description: (데이터 옵션명(상세) 의 데이터를 고객에게 제공하는 방식을 의미하며 데이터 추가, 데이터 차감율 할인, QoS 적용이 있음.),	value: (데이터 추가)"
PA00000070|includes|NA00008710,"label: 데이터 옵션 적용 장소,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 장소),	value: (전 지역)
label: 제공되는 옵션 데이터량,	description: (데이터 옵션명(상세) 의 데이터를 데이터 추가 형태로 제공하기로 선택한 경우 정의가 필요한 추가 제공되는 데이터 양을 의미함 (월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함. ),	value: (1GB)
label: 옵션 데이터 소진 후 데이터 QoS,	description: (데이터 옵션명(상세) 의 데이터를 데이터 추가 형태로 제공하기로 선택한 경우 추가 제공되는 데이터를 모두 소진하였을 때, 이후에도 추가 과금(유료)없이 속도 제한된 상태로 데이터 계속 이용 가능한 것을 의미하며 이 떄 추가 데이터 소진 후 데이터 사용 시 적용되는 네트워크 최대 접속 가능 속도를 의미함 (월 단위)),	value: (QOS 적용 없음)
label: 데이터 옵션 월정액,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)에 대한 월 이용요금(단위: 월)),	value: (3000원)
label: 데이터 차감 할인율,	description: (데이터 옵션명(상세) 의 데이터 차감율 할인으로 선택한 경우 기본 제공 데이터 소진 비율을 할인 조정하여 차감하며, 이 때 차감 할인율은 차감 조정 비율을 의미함(월 단위)),	value: (정보없음)
label: 매일, 매주, 매월, 주중, 주말, 공휴일(복수 지정 가능),	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 주기),	value: (매월)
label: 기본 데이터 소진 후 데이터 QoS,	description: (데이터 옵션명(상세) 의 데이터를 QoS 적용으로 선택 시, 기본 제공 데이터 소진 후에 추가 과금(유료)없이 속도 제한된 상태로 데이터 계속 이용 가능함을 의미하며 이 때 설정하는 네트워크 최대 접속 가능 속도를 의미함(월 단위)),	value: (정보없음)
label: 시간대 또는 특정 시간 지정 가능,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 시간대),	value: (적용 없음)
label: 데이터 옵션상세 ID,	description: (제공되는 데이터 옵션이 복수인 경우, 각 옵션 데이터를 구분할 수 있는 Product Meta 고유 ID를 의미함),	value: (정보없음)
label: 데이터 옵션 제공 방식(데이터 추가 / 데이터 차감율 할인 / QoS 적용),	description: (데이터 옵션명(상세) 의 데이터를 고객에게 제공하는 방식을 의미하며 데이터 추가, 데이터 차감율 할인, QoS 적용이 있음.),	value: (데이터 추가)"
PA00000081|includes|NA00008705,"label: 데이터 옵션 적용 장소,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 장소),	value: (전 지역)
label: 제공되는 옵션 데이터량,	description: (데이터 옵션명(상세) 의 데이터를 데이터 추가 형태로 제공하기로 선택한 경우 정의가 필요한 추가 제공되는 데이터 양을 의미함 (월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함. ),	value: (1GB)
label: 옵션 데이터 소진 후 데이터 QoS,	description: (데이터 옵션명(상세) 의 데이터를 데이터 추가 형태로 제공하기로 선택한 경우 추가 제공되는 데이터를 모두 소진하였을 때, 이후에도 추가 과금(유료)없이 속도 제한된 상태로 데이터 계속 이용 가능한 것을 의미하며 이 떄 추가 데이터 소진 후 데이터 사용 시 적용되는 네트워크 최대 접속 가능 속도를 의미함 (월 단위)),	value: (QOS 적용 없음)
label: 데이터 옵션 월정액,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)에 대한 월 이용요금(단위: 월)),	value: (3000원)
label: 데이터 차감 할인율,	description: (데이터 옵션명(상세) 의 데이터 차감율 할인으로 선택한 경우 기본 제공 데이터 소진 비율을 할인 조정하여 차감하며, 이 때 차감 할인율은 차감 조정 비율을 의미함(월 단위)),	value: (정보없음)
label: 매일, 매주, 매월, 주중, 주말, 공휴일(복수 지정 가능),	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 주기),	value: (매월)
label: 기본 데이터 소진 후 데이터 QoS,	description: (데이터 옵션명(상세) 의 데이터를 QoS 적용으로 선택 시, 기본 제공 데이터 소진 후에 추가 과금(유료)없이 속도 제한된 상태로 데이터 계속 이용 가능함을 의미하며 이 때 설정하는 네트워크 최대 접속 가능 속도를 의미함(월 단위)),	value: (정보없음)
label: 시간대 또는 특정 시간 지정 가능,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 시간대),	value: (적용 없음)
label: 데이터 옵션상세 ID,	description: (제공되는 데이터 옵션이 복수인 경우, 각 옵션 데이터를 구분할 수 있는 Product Meta 고유 ID를 의미함),	value: (정보없음)
label: 데이터 옵션 제공 방식(데이터 추가 / 데이터 차감율 할인 / QoS 적용),	description: (데이터 옵션명(상세) 의 데이터를 고객에게 제공하는 방식을 의미하며 데이터 추가, 데이터 차감율 할인, QoS 적용이 있음.),	value: (데이터 추가)"
PA00000082|includes|NA00008709,"label: 데이터 옵션 적용 장소,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 장소),	value: (전 지역)
label: 제공되는 옵션 데이터량,	description: (데이터 옵션명(상세) 의 데이터를 데이터 추가 형태로 제공하기로 선택한 경우 정의가 필요한 추가 제공되는 데이터 양을 의미함 (월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함. ),	value: (2GB)
label: 옵션 데이터 소진 후 데이터 QoS,	description: (데이터 옵션명(상세) 의 데이터를 데이터 추가 형태로 제공하기로 선택한 경우 추가 제공되는 데이터를 모두 소진하였을 때, 이후에도 추가 과금(유료)없이 속도 제한된 상태로 데이터 계속 이용 가능한 것을 의미하며 이 떄 추가 데이터 소진 후 데이터 사용 시 적용되는 네트워크 최대 접속 가능 속도를 의미함 (월 단위)),	value: (QOS 적용 없음)
label: 데이터 옵션 월정액,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)에 대한 월 이용요금(단위: 월)),	value: (3000원)
label: 데이터 차감 할인율,	description: (데이터 옵션명(상세) 의 데이터 차감율 할인으로 선택한 경우 기본 제공 데이터 소진 비율을 할인 조정하여 차감하며, 이 때 차감 할인율은 차감 조정 비율을 의미함(월 단위)),	value: (정보없음)
label: 매일, 매주, 매월, 주중, 주말, 공휴일(복수 지정 가능),	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 주기),	value: (매월)
label: 기본 데이터 소진 후 데이터 QoS,	description: (데이터 옵션명(상세) 의 데이터를 QoS 적용으로 선택 시, 기본 제공 데이터 소진 후에 추가 과금(유료)없이 속도 제한된 상태로 데이터 계속 이용 가능함을 의미하며 이 때 설정하는 네트워크 최대 접속 가능 속도를 의미함(월 단위)),	value: (정보없음)
label: 시간대 또는 특정 시간 지정 가능,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 시간대),	value: (적용 없음)
label: 데이터 옵션상세 ID,	description: (제공되는 데이터 옵션이 복수인 경우, 각 옵션 데이터를 구분할 수 있는 Product Meta 고유 ID를 의미함),	value: (정보없음)
label: 데이터 옵션 제공 방식(데이터 추가 / 데이터 차감율 할인 / QoS 적용),	description: (데이터 옵션명(상세) 의 데이터를 고객에게 제공하는 방식을 의미하며 데이터 추가, 데이터 차감율 할인, QoS 적용이 있음.),	value: (데이터 추가)"
PA00000084|includes|NA00008707,"label: 데이터 옵션 적용 장소,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 장소),	value: (전 지역)
label: 제공되는 옵션 데이터량,	description: (데이터 옵션명(상세) 의 데이터를 데이터 추가 형태로 제공하기로 선택한 경우 정의가 필요한 추가 제공되는 데이터 양을 의미함 (월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함. ),	value: (4GB)
label: 옵션 데이터 소진 후 데이터 QoS,	description: (데이터 옵션명(상세) 의 데이터를 데이터 추가 형태로 제공하기로 선택한 경우 추가 제공되는 데이터를 모두 소진하였을 때, 이후에도 추가 과금(유료)없이 속도 제한된 상태로 데이터 계속 이용 가능한 것을 의미하며 이 떄 추가 데이터 소진 후 데이터 사용 시 적용되는 네트워크 최대 접속 가능 속도를 의미함 (월 단위)),	value: (QOS 적용 없음)
label: 데이터 옵션 월정액,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)에 대한 월 이용요금(단위: 월)),	value: (3000원)
label: 데이터 차감 할인율,	description: (데이터 옵션명(상세) 의 데이터 차감율 할인으로 선택한 경우 기본 제공 데이터 소진 비율을 할인 조정하여 차감하며, 이 때 차감 할인율은 차감 조정 비율을 의미함(월 단위)),	value: (정보없음)
label: 매일, 매주, 매월, 주중, 주말, 공휴일(복수 지정 가능),	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 주기),	value: (매월)
label: 기본 데이터 소진 후 데이터 QoS,	description: (데이터 옵션명(상세) 의 데이터를 QoS 적용으로 선택 시, 기본 제공 데이터 소진 후에 추가 과금(유료)없이 속도 제한된 상태로 데이터 계속 이용 가능함을 의미하며 이 때 설정하는 네트워크 최대 접속 가능 속도를 의미함(월 단위)),	value: (정보없음)
label: 시간대 또는 특정 시간 지정 가능,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 시간대),	value: (적용 없음)
label: 데이터 옵션상세 ID,	description: (제공되는 데이터 옵션이 복수인 경우, 각 옵션 데이터를 구분할 수 있는 Product Meta 고유 ID를 의미함),	value: (정보없음)
label: 데이터 옵션 제공 방식(데이터 추가 / 데이터 차감율 할인 / QoS 적용),	description: (데이터 옵션명(상세) 의 데이터를 고객에게 제공하는 방식을 의미하며 데이터 추가, 데이터 차감율 할인, QoS 적용이 있음.),	value: (데이터 추가)"
PA00000085|includes|NA00008708,"label: 데이터 옵션 적용 장소,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 장소),	value: (전 지역)
label: 제공되는 옵션 데이터량,	description: (데이터 옵션명(상세) 의 데이터를 데이터 추가 형태로 제공하기로 선택한 경우 정의가 필요한 추가 제공되는 데이터 양을 의미함 (월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함. ),	value: (3GB)
label: 옵션 데이터 소진 후 데이터 QoS,	description: (데이터 옵션명(상세) 의 데이터를 데이터 추가 형태로 제공하기로 선택한 경우 추가 제공되는 데이터를 모두 소진하였을 때, 이후에도 추가 과금(유료)없이 속도 제한된 상태로 데이터 계속 이용 가능한 것을 의미하며 이 떄 추가 데이터 소진 후 데이터 사용 시 적용되는 네트워크 최대 접속 가능 속도를 의미함 (월 단위)),	value: (QOS 적용 없음)
label: 데이터 옵션 월정액,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)에 대한 월 이용요금(단위: 월)),	value: (3000원)
label: 데이터 차감 할인율,	description: (데이터 옵션명(상세) 의 데이터 차감율 할인으로 선택한 경우 기본 제공 데이터 소진 비율을 할인 조정하여 차감하며, 이 때 차감 할인율은 차감 조정 비율을 의미함(월 단위)),	value: (정보없음)
label: 매일, 매주, 매월, 주중, 주말, 공휴일(복수 지정 가능),	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 주기),	value: (매월)
label: 기본 데이터 소진 후 데이터 QoS,	description: (데이터 옵션명(상세) 의 데이터를 QoS 적용으로 선택 시, 기본 제공 데이터 소진 후에 추가 과금(유료)없이 속도 제한된 상태로 데이터 계속 이용 가능함을 의미하며 이 때 설정하는 네트워크 최대 접속 가능 속도를 의미함(월 단위)),	value: (정보없음)
label: 시간대 또는 특정 시간 지정 가능,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 시간대),	value: (적용 없음)
label: 데이터 옵션상세 ID,	description: (제공되는 데이터 옵션이 복수인 경우, 각 옵션 데이터를 구분할 수 있는 Product Meta 고유 ID를 의미함),	value: (정보없음)
label: 데이터 옵션 제공 방식(데이터 추가 / 데이터 차감율 할인 / QoS 적용),	description: (데이터 옵션명(상세) 의 데이터를 고객에게 제공하는 방식을 의미하며 데이터 추가, 데이터 차감율 할인, QoS 적용이 있음.),	value: (데이터 추가)"
PA00000086|includes|NA00008703,"label: 데이터 옵션 적용 장소,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 장소),	value: (전 지역)
label: 제공되는 옵션 데이터량,	description: (데이터 옵션명(상세) 의 데이터를 데이터 추가 형태로 제공하기로 선택한 경우 정의가 필요한 추가 제공되는 데이터 양을 의미함 (월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함. ),	value: (4GB)
label: 옵션 데이터 소진 후 데이터 QoS,	description: (데이터 옵션명(상세) 의 데이터를 데이터 추가 형태로 제공하기로 선택한 경우 추가 제공되는 데이터를 모두 소진하였을 때, 이후에도 추가 과금(유료)없이 속도 제한된 상태로 데이터 계속 이용 가능한 것을 의미하며 이 떄 추가 데이터 소진 후 데이터 사용 시 적용되는 네트워크 최대 접속 가능 속도를 의미함 (월 단위)),	value: (QOS 적용 없음)
label: 데이터 옵션 월정액,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)에 대한 월 이용요금(단위: 월)),	value: (3000원)
label: 데이터 차감 할인율,	description: (데이터 옵션명(상세) 의 데이터 차감율 할인으로 선택한 경우 기본 제공 데이터 소진 비율을 할인 조정하여 차감하며, 이 때 차감 할인율은 차감 조정 비율을 의미함(월 단위)),	value: (정보없음)
label: 매일, 매주, 매월, 주중, 주말, 공휴일(복수 지정 가능),	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 주기),	value: (매월)
label: 기본 데이터 소진 후 데이터 QoS,	description: (데이터 옵션명(상세) 의 데이터를 QoS 적용으로 선택 시, 기본 제공 데이터 소진 후에 추가 과금(유료)없이 속도 제한된 상태로 데이터 계속 이용 가능함을 의미하며 이 때 설정하는 네트워크 최대 접속 가능 속도를 의미함(월 단위)),	value: (정보없음)
label: 시간대 또는 특정 시간 지정 가능,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 시간대),	value: (적용 없음)
label: 데이터 옵션상세 ID,	description: (제공되는 데이터 옵션이 복수인 경우, 각 옵션 데이터를 구분할 수 있는 Product Meta 고유 ID를 의미함),	value: (정보없음)
label: 데이터 옵션 제공 방식(데이터 추가 / 데이터 차감율 할인 / QoS 적용),	description: (데이터 옵션명(상세) 의 데이터를 고객에게 제공하는 방식을 의미하며 데이터 추가, 데이터 차감율 할인, QoS 적용이 있음.),	value: (데이터 추가)"
PA00000089|includes|NA00008704,"label: 데이터 옵션 적용 장소,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 장소),	value: (전 지역)
label: 제공되는 옵션 데이터량,	description: (데이터 옵션명(상세) 의 데이터를 데이터 추가 형태로 제공하기로 선택한 경우 정의가 필요한 추가 제공되는 데이터 양을 의미함 (월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함. ),	value: (2GB)
label: 옵션 데이터 소진 후 데이터 QoS,	description: (데이터 옵션명(상세) 의 데이터를 데이터 추가 형태로 제공하기로 선택한 경우 추가 제공되는 데이터를 모두 소진하였을 때, 이후에도 추가 과금(유료)없이 속도 제한된 상태로 데이터 계속 이용 가능한 것을 의미하며 이 떄 추가 데이터 소진 후 데이터 사용 시 적용되는 네트워크 최대 접속 가능 속도를 의미함 (월 단위)),	value: (QOS 적용 없음)
label: 데이터 옵션 월정액,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)에 대한 월 이용요금(단위: 월)),	value: (3000원)
label: 데이터 차감 할인율,	description: (데이터 옵션명(상세) 의 데이터 차감율 할인으로 선택한 경우 기본 제공 데이터 소진 비율을 할인 조정하여 차감하며, 이 때 차감 할인율은 차감 조정 비율을 의미함(월 단위)),	value: (정보없음)
label: 매일, 매주, 매월, 주중, 주말, 공휴일(복수 지정 가능),	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 주기),	value: (매월)
label: 기본 데이터 소진 후 데이터 QoS,	description: (데이터 옵션명(상세) 의 데이터를 QoS 적용으로 선택 시, 기본 제공 데이터 소진 후에 추가 과금(유료)없이 속도 제한된 상태로 데이터 계속 이용 가능함을 의미하며 이 때 설정하는 네트워크 최대 접속 가능 속도를 의미함(월 단위)),	value: (정보없음)
label: 시간대 또는 특정 시간 지정 가능,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 시간대),	value: (적용 없음)
label: 데이터 옵션상세 ID,	description: (제공되는 데이터 옵션이 복수인 경우, 각 옵션 데이터를 구분할 수 있는 Product Meta 고유 ID를 의미함),	value: (정보없음)
label: 데이터 옵션 제공 방식(데이터 추가 / 데이터 차감율 할인 / QoS 적용),	description: (데이터 옵션명(상세) 의 데이터를 고객에게 제공하는 방식을 의미하며 데이터 추가, 데이터 차감율 할인, QoS 적용이 있음.),	value: (데이터 추가)"
PA00000100|includes|NA00006161,"label: 데이터 옵션 적용 장소,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 장소),	value: (전 지역)
label: 제공되는 옵션 데이터량,	description: (데이터 옵션명(상세) 의 데이터를 데이터 추가 형태로 제공하기로 선택한 경우 정의가 필요한 추가 제공되는 데이터 양을 의미함 (월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함. ),	value: (2GB)
label: 옵션 데이터 소진 후 데이터 QoS,	description: (데이터 옵션명(상세) 의 데이터를 데이터 추가 형태로 제공하기로 선택한 경우 추가 제공되는 데이터를 모두 소진하였을 때, 이후에도 추가 과금(유료)없이 속도 제한된 상태로 데이터 계속 이용 가능한 것을 의미하며 이 떄 추가 데이터 소진 후 데이터 사용 시 적용되는 네트워크 최대 접속 가능 속도를 의미함 (월 단위)),	value: (3Mbps)
label: 데이터 옵션 월정액,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)에 대한 월 이용요금(단위: 월)),	value: (무료)
label: 데이터 차감 할인율,	description: (데이터 옵션명(상세) 의 데이터 차감율 할인으로 선택한 경우 기본 제공 데이터 소진 비율을 할인 조정하여 차감하며, 이 때 차감 할인율은 차감 조정 비율을 의미함(월 단위)),	value: (정보없음)
label: 매일, 매주, 매월, 주중, 주말, 공휴일(복수 지정 가능),	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 주기),	value: (매주 주말)
label: 기본 데이터 소진 후 데이터 QoS,	description: (데이터 옵션명(상세) 의 데이터를 QoS 적용으로 선택 시, 기본 제공 데이터 소진 후에 추가 과금(유료)없이 속도 제한된 상태로 데이터 계속 이용 가능함을 의미하며 이 때 설정하는 네트워크 최대 접속 가능 속도를 의미함(월 단위)),	value: (정보없음)
label: 시간대 또는 특정 시간 지정 가능,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 시간대),	value: (적용 없음)
label: 데이터 옵션상세 ID,	description: (제공되는 데이터 옵션이 복수인 경우, 각 옵션 데이터를 구분할 수 있는 Product Meta 고유 ID를 의미함),	value: (정보없음)
label: 데이터 옵션 제공 방식(데이터 추가 / 데이터 차감율 할인 / QoS 적용),	description: (데이터 옵션명(상세) 의 데이터를 고객에게 제공하는 방식을 의미하며 데이터 추가, 데이터 차감율 할인, QoS 적용이 있음.),	value: (데이터 추가)"
PA00000100|includes|NA00006162,"label: 데이터 옵션 적용 장소,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 장소),	value: (전 지역)
label: 제공되는 옵션 데이터량,	description: (데이터 옵션명(상세) 의 데이터를 데이터 추가 형태로 제공하기로 선택한 경우 정의가 필요한 추가 제공되는 데이터 양을 의미함 (월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함. ),	value: (정보없음)
label: 옵션 데이터 소진 후 데이터 QoS,	description: (데이터 옵션명(상세) 의 데이터를 데이터 추가 형태로 제공하기로 선택한 경우 추가 제공되는 데이터를 모두 소진하였을 때, 이후에도 추가 과금(유료)없이 속도 제한된 상태로 데이터 계속 이용 가능한 것을 의미하며 이 떄 추가 데이터 소진 후 데이터 사용 시 적용되는 네트워크 최대 접속 가능 속도를 의미함 (월 단위)),	value: (정보없음)
label: 데이터 옵션 월정액,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)에 대한 월 이용요금(단위: 월)),	value: (무료)
label: 데이터 차감 할인율,	description: (데이터 옵션명(상세) 의 데이터 차감율 할인으로 선택한 경우 기본 제공 데이터 소진 비율을 할인 조정하여 차감하며, 이 때 차감 할인율은 차감 조정 비율을 의미함(월 단위)),	value: (100%)
label: 매일, 매주, 매월, 주중, 주말, 공휴일(복수 지정 가능),	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 주기),	value: (매일)
label: 기본 데이터 소진 후 데이터 QoS,	description: (데이터 옵션명(상세) 의 데이터를 QoS 적용으로 선택 시, 기본 제공 데이터 소진 후에 추가 과금(유료)없이 속도 제한된 상태로 데이터 계속 이용 가능함을 의미하며 이 때 설정하는 네트워크 최대 접속 가능 속도를 의미함(월 단위)),	value: (정보없음)
label: 시간대 또는 특정 시간 지정 가능,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 시간대),	value: (00:00-07:00)
label: 데이터 옵션상세 ID,	description: (제공되는 데이터 옵션이 복수인 경우, 각 옵션 데이터를 구분할 수 있는 Product Meta 고유 ID를 의미함),	value: (정보없음)
label: 데이터 옵션 제공 방식(데이터 추가 / 데이터 차감율 할인 / QoS 적용),	description: (데이터 옵션명(상세) 의 데이터를 고객에게 제공하는 방식을 의미하며 데이터 추가, 데이터 차감율 할인, QoS 적용이 있음.),	value: (데이터 차감율 할인)"
PA00000100|includes|NA00006163,"label: 데이터 옵션 적용 장소,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 장소),	value: (전 지역)
label: 제공되는 옵션 데이터량,	description: (데이터 옵션명(상세) 의 데이터를 데이터 추가 형태로 제공하기로 선택한 경우 정의가 필요한 추가 제공되는 데이터 양을 의미함 (월 단위). 무제한인 경우, 제한없이 사용할 수 있음을 의미함. ),	value: (2GB)
label: 옵션 데이터 소진 후 데이터 QoS,	description: (데이터 옵션명(상세) 의 데이터를 데이터 추가 형태로 제공하기로 선택한 경우 추가 제공되는 데이터를 모두 소진하였을 때, 이후에도 추가 과금(유료)없이 속도 제한된 상태로 데이터 계속 이용 가능한 것을 의미하며 이 떄 추가 데이터 소진 후 데이터 사용 시 적용되는 네트워크 최대 접속 가능 속도를 의미함 (월 단위)),	value: (3Mbps)
label: 데이터 옵션 월정액,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)에 대한 월 이용요금(단위: 월)),	value: (무료)
label: 데이터 차감 할인율,	description: (데이터 옵션명(상세) 의 데이터 차감율 할인으로 선택한 경우 기본 제공 데이터 소진 비율을 할인 조정하여 차감하며, 이 때 차감 할인율은 차감 조정 비율을 의미함(월 단위)),	value: (정보없음)
label: 매일, 매주, 매월, 주중, 주말, 공휴일(복수 지정 가능),	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 주기),	value: (매일)
label: 기본 데이터 소진 후 데이터 QoS,	description: (데이터 옵션명(상세) 의 데이터를 QoS 적용으로 선택 시, 기본 제공 데이터 소진 후에 추가 과금(유료)없이 속도 제한된 상태로 데이터 계속 이용 가능함을 의미하며 이 때 설정하는 네트워크 최대 접속 가능 속도를 의미함(월 단위)),	value: (정보없음)
label: 시간대 또는 특정 시간 지정 가능,	description: (데이터 옵션명(상세)에서 정의한 추가 데이터(또는 적용 QoS, 데이터 차감 할인율)가 적용되는 시간대),	value: (3 시간)
